date,max_temp,min_temp
2026-08-22,26.3,13.0
2026-08-23,24.8,13.1
2026-08-24,22.2,15.7
2026-08-25,24.6,16.5
2026-08-26,26.6,16.6
2026-08-27,24.8,16.7
2026-08-28,25.3,16.7
